"atc_code","outcome","hr","ci_lower","ci_upper","p_value","n","n_event","candidate"
"C0987","chd",1.024,0.732,1.426,0.1273,2000,215,FALSE
"M0174","chd",0.83,0.627,1.249,0.1812,2000,111,FALSE
"C0310","chd",0.907,0.755,1.082,0.4636,2000,154,FALSE
"C0313","chd",2.151,1.83,2.491,0.012,2000,269,TRUE
"C0279","chd",1.383,1.227,1.572,0.0408,2000,134,TRUE
"C0733","chd",2.266,2.1,2.622,0.0313,2000,80,TRUE
"C0243","chd",1.205,1.007,1.685,0.1457,2000,36,FALSE
"C0717","chd",0.793,0.601,1.085,0.6924,2000,157,FALSE
"C0355","chd",1.102,0.824,1.492,0.7115,2000,157,FALSE
"C0725","chd",0.998,0.841,1.373,0.1623,2000,67,FALSE
"J0199","chd",0.983,0.819,1.311,0.3718,2000,250,FALSE
"J0120","chd",0.978,0.675,1.392,0.7529,2000,83,FALSE
"C0859","chd",1.145,0.809,1.436,0.7804,2000,40,FALSE
"C0932","chd",0.9,0.637,1.058,0.4582,2000,222,FALSE
"C0262","chd",1.051,0.772,1.216,0.1582,2000,185,FALSE
"C0987","stroke",1.166,0.936,1.449,0.2715,2000,30,FALSE
"M0174","stroke",0.997,0.732,1.463,0.3709,2000,270,FALSE
"C0310","stroke",1.174,0.971,1.562,0.4178,2000,26,FALSE
"C0313","stroke",2.125,1.963,2.388,0.0104,2000,199,TRUE
"C0279","stroke",2.193,2.02,2.541,0.0042,2000,187,TRUE
"C0733","stroke",2.178,1.945,2.403,0.026,2000,147,TRUE
"C0243","stroke",0.867,0.53,1.233,0.8138,2000,86,FALSE
"C0717","stroke",1.063,0.87,1.353,0.8356,2000,187,FALSE
"C0355","stroke",1.298,1.108,1.605,0.8697,2000,21,FALSE
"C0725","stroke",1.28,1.011,1.684,0.4455,2000,87,FALSE
"J0199","stroke",0.897,0.604,1.049,0.9238,2000,69,FALSE
"J0120","stroke",1.118,0.823,1.453,0.4862,2000,159,FALSE
"C0859","stroke",1.255,1.027,1.566,0.8622,2000,265,FALSE
"C0932","stroke",1.149,0.854,1.435,0.8314,2000,232,FALSE
"C0262","stroke",0.788,0.5,1.159,0.253,2000,71,FALSE
"C0987","heart_failure",1.176,0.917,1.491,0.7036,2000,170,FALSE
"M0174","heart_failure",1.121,0.954,1.308,0.8813,2000,297,FALSE
"C0310","heart_failure",1.162,0.857,1.546,0.699,2000,93,FALSE
"C0313","heart_failure",1.707,1.492,1.946,0.0141,2000,42,TRUE
"C0279","heart_failure",1.515,1.203,1.922,0.041,2000,86,TRUE
"C0733","heart_failure",2.021,1.704,2.337,0.028,2000,96,TRUE
"C0243","heart_failure",1.21,0.999,1.368,0.1922,2000,62,FALSE
"C0717","heart_failure",0.966,0.735,1.463,0.2326,2000,221,FALSE
"C0355","heart_failure",1.106,0.91,1.424,0.8515,2000,184,FALSE
"C0725","heart_failure",1.186,0.878,1.502,0.25,2000,90,FALSE
"J0199","heart_failure",0.994,0.801,1.152,0.1743,2000,294,FALSE
"J0120","heart_failure",0.785,0.5,0.988,0.9266,2000,26,FALSE
"C0859","heart_failure",0.945,0.777,1.237,0.1664,2000,250,FALSE
"C0932","heart_failure",0.814,0.552,1.017,0.4616,2000,271,FALSE
"C0262","heart_failure",1.11,0.79,1.451,0.4031,2000,226,FALSE
"C0987","cv_death",1.296,1.044,1.56,0.6175,2000,131,FALSE
"M0174","cv_death",0.938,0.618,1.372,0.4052,2000,85,FALSE
"C0310","cv_death",1.063,0.741,1.259,0.6826,2000,89,FALSE
"C0313","cv_death",2.112,1.899,2.385,0.0034,2000,192,TRUE
"C0279","cv_death",1.342,1.052,1.744,0.0169,2000,28,TRUE
"C0733","cv_death",2.129,1.853,2.554,0.0383,2000,198,TRUE
"C0243","cv_death",1.035,0.785,1.233,0.4084,2000,59,FALSE
"C0717","cv_death",1.059,0.819,1.496,0.3367,2000,275,FALSE
"C0355","cv_death",0.825,0.606,1.051,0.2377,2000,195,FALSE
"C0725","cv_death",1.126,0.942,1.539,0.5059,2000,264,FALSE
"J0199","cv_death",1.043,0.708,1.4,0.5849,2000,100,FALSE
"J0120","cv_death",1.167,0.853,1.348,0.85,2000,271,FALSE
"C0859","cv_death",0.8,0.56,1.043,0.8251,2000,80,FALSE
"C0932","cv_death",1.015,0.812,1.347,0.1984,2000,203,FALSE
"C0262","cv_death",1.23,1.009,1.571,0.5185,2000,197,FALSE
