"atc_code","outcome","hr","ci_lower","ci_upper","p_value","n","n_event","candidate"
"C0249","chd",0.805,0.646,1.081,0.4025,2000,252,FALSE
"J0164","chd",1.612,1.345,2.083,0.0073,2000,99,TRUE
"C0399","chd",1.478,1.148,1.842,0.0383,2000,83,TRUE
"A1082","chd",1.012,0.689,1.162,0.9103,2000,97,FALSE
"J0150","chd",0.86,0.703,1.288,0.6601,2000,116,FALSE
"C0232","chd",0.8,0.562,1.047,0.3454,2000,44,FALSE
"C0333","chd",1.293,1.082,1.623,0.1791,2000,135,FALSE
"C0842","chd",1.541,1.216,1.745,0.0321,2000,255,TRUE
"M0152","chd",1.107,0.891,1.565,0.0992,2000,149,FALSE
"M0184","chd",0.935,0.59,1.112,0.4596,2000,213,FALSE
"C0985","chd",1.153,0.978,1.551,0.2303,2000,173,FALSE
"M0140","chd",1.051,0.895,1.506,0.3207,2000,282,FALSE
"C0946","chd",1.196,0.92,1.397,0.3629,2000,286,FALSE
"C0977","chd",0.929,0.692,1.225,0.8231,2000,265,FALSE
"C0348","chd",1.245,1.066,1.525,0.5544,2000,73,FALSE
"C0249","stroke",1.161,0.89,1.483,0.3448,2000,227,FALSE
"J0164","stroke",1.543,1.219,1.717,0.0333,2000,130,TRUE
"C0399","stroke",1.389,1.128,1.704,0.0447,2000,140,TRUE
"A1082","stroke",1.284,1.082,1.547,0.4897,2000,100,FALSE
"J0150","stroke",0.922,0.752,1.311,0.1226,2000,148,FALSE
"C0232","stroke",0.926,0.593,1.292,0.4597,2000,247,FALSE
"C0333","stroke",1.112,0.938,1.557,0.8305,2000,256,FALSE
"C0842","stroke",1.517,1.293,1.9,0.0067,2000,214,TRUE
"M0152","stroke",1.299,1.086,1.784,0.6174,2000,178,FALSE
"M0184","stroke",0.994,0.733,1.234,0.5372,2000,87,FALSE
"C0985","stroke",1.21,1.009,1.605,0.4607,2000,67,FALSE
"M0140","stroke",0.822,0.612,1.261,0.3386,2000,162,FALSE
"C0946","stroke",0.802,0.624,1.066,0.1663,2000,207,FALSE
"C0977","stroke",1.097,0.783,1.439,0.9437,2000,237,FALSE
"C0348","stroke",0.829,0.585,1.179,0.3781,2000,194,FALSE
"C0249","heart_failure",1.295,1.075,1.755,0.2136,2000,26,FALSE
"J0164","heart_failure",2.105,1.815,2.293,0.0172,2000,117,TRUE
"C0399","heart_failure",1.953,1.75,2.441,0.0261,2000,95,TRUE
"A1082","heart_failure",0.982,0.663,1.227,0.4316,2000,135,FALSE
"J0150","heart_failure",1.179,0.911,1.421,0.2647,2000,282,FALSE
"C0232","heart_failure",1.134,0.937,1.477,0.518,2000,180,FALSE
"C0333","heart_failure",0.784,0.533,1.113,0.7698,2000,253,FALSE
"C0842","heart_failure",1.605,1.334,1.797,0.0207,2000,106,TRUE
"M0152","heart_failure",0.759,0.593,1.013,0.5059,2000,259,FALSE
"M0184","heart_failure",0.985,0.742,1.299,0.7631,2000,174,FALSE
"C0985","heart_failure",1.202,0.959,1.679,0.8053,2000,238,FALSE
"M0140","heart_failure",1.251,1.017,1.712,0.5208,2000,240,FALSE
"C0946","heart_failure",1.065,0.846,1.215,0.865,2000,91,FALSE
"C0977","heart_failure",0.842,0.591,1.063,0.3803,2000,94,FALSE
"C0348","heart_failure",1.211,0.892,1.388,0.3135,2000,156,FALSE
"C0249","cv_death",1.236,1,1.466,0.2646,2000,192,FALSE
"J0164","cv_death",1.644,1.35,2.134,0.0078,2000,55,TRUE
"C0399","cv_death",1.396,1.086,1.758,0.0088,2000,202,TRUE
"A1082","cv_death",0.804,0.617,1.123,0.3979,2000,108,FALSE
"J0150","cv_death",0.982,0.678,1.441,0.1833,2000,95,FALSE
"C0232","cv_death",1.23,1.049,1.544,0.722,2000,91,FALSE
"C0333","cv_death",0.815,0.526,0.995,0.4779,2000,20,FALSE
"C0842","cv_death",1.94,1.726,2.379,0.0373,2000,149,TRUE
"M0152","cv_death",0.77,0.5,1.141,0.1594,2000,274,FALSE
"M0184","cv_death",1.28,1.118,1.744,0.746,2000,127,FALSE
"C0985","cv_death",0.981,0.649,1.158,0.211,2000,47,FALSE
"M0140","cv_death",1.231,0.911,1.69,0.7974,2000,284,FALSE
"C0946","cv_death",0.774,0.531,0.958,0.2151,2000,39,FALSE
"C0977","cv_death",1,0.786,1.25,0.7911,2000,181,FALSE
"C0348","cv_death",1.187,0.921,1.533,0.3146,2000,251,FALSE
